   #   Energy       Run. Aver.   Diff / au.
  190 -396.89854225  -0.68150476   0.00026069
  191 -396.51306630  -0.68124360   0.00026116
  192 -396.38994156  -0.68098414   0.00025946
  193 -396.31720541  -0.68072677   0.00025737
  194 -396.17212048  -0.68047087   0.00025590
  195 -396.77776139  -0.68022256   0.00024831
  196 -397.34786740  -0.67998145   0.00024111
  197 -397.36571793  -0.67974297   0.00023848
  198 -397.38139263  -0.67950705   0.00023593
  199 -397.14244903  -0.67927159   0.00023546
  200 -396.99606823  -0.67903732   0.00023427
